지역(대),지역(소),매장명,테마명,장르,난이도,시간,내용,최소인원,최대인원,메인사진,예약URL,오픈일,추천율,인원,유저_난이도,유저_공포도,유저_활동성
강원,강릉,강릉방탈출카페,마법사의 세계,판타지,3,60,"6대 현자들의 제자였던 당신은 마을의 여자들을 납치해 돌로 만들어 버린다는 암흑 마법사의 소식을 듣게 된다.
암흑 마법사의 처단을 위해 6명의 스승님들이 여행을 떠나지만 이내 소식이 끊어져 버리고 만다
당신은 스승님들의 복수를 위해 암흑 마법사를 찾아 나서고 암흑 마법사의 연구실을 발견하게 되는데.
암흑마법사의 계획을 저지하고 스승님들의 복수를 해야한다",2,5,https://naverbooking-phinf.pstatic.net/20211110_216/1636505796142zkvHF_JPEG/%B8%B6%B9%FD%BB%E7%C0%C7_%BC%BC%B0%E8_1.jpg?type=f1242_816_60_sharpen,https://booking.naver.com/booking/12/bizes/608353/items/4167205?area=ple,2017.04.26,0,0,0,0,0
강원,강릉,강릉방탈출카페,이상한 나라의 초대,판타지,4,60,"이상한 나라의 파티에 초대되다..

괴이한 토끼를 통해 하얀 여왕의 전보를 받고 이제 이상한 나라로의 여행이 시작되었다.
하얀 여왕에게 가는 길에 맞이한 붉은 여왕의 카드병정 군대
당신은 방해를 물리치고 무사히 집으로 돌아갈 수 있을까?",2,5,https://naverbooking-phinf.pstatic.net/20211110_4/16365082756259knDC_JPEG/%C0%CC%BB%F3%C7%D1_%B3%AA%B6%F3_1.jpg?type=ff1242_816,https://booking.naver.com/booking/12/bizes/608353/items/4167233?area=ple,2017.12,0,0,0,0,0
강원,강릉,강릉방탈출카페,도둑들,잠입/탈출,3,60,"유명화가의 휘귀품만 전시해서 그 가치가 높은 크라임 미술관
이곳은 보안으로도 유명해 한번도 도둑맞은 적이 없다.
당신은 이곳을 털기위해 천재해커 빌리와 손을 잡게되고 빌리가 한시간동안 경비시스템을 마비 시킬 수 있다는데..
주어진 시간은 한시간! 미술관을 털어라!",2,5,https://naverbooking-phinf.pstatic.net/20211110_55/1636507228215IrGPi_JPEG/%B5%B5%B5%CF%B5%E9_1.jpg?type=ff1242_816,https://booking.naver.com/booking/12/bizes/608353/items/4167230?area=ple,2017.12,0,0,0,0,0
강원,강릉,강릉방탈출카페,암살,역사,3,60,"2월 14일은 안중근 의사의 사형 선고일이다.
당신은 독립군대장. 안중근의사의 감옥에 잠입해서 그를 구출해 내야한다.
한 시간이 지나고 날이 밝으면 모든사람들의 염원이 물거품이 되어버릴 것이다.
자 우리민족을 위해 건투를 빈다.",2,5,https://naverbooking-phinf.pstatic.net/20211110_24/1636507366095ajG6K_JPEG/%BE%CF%BB%EC_1.jpg?type=ff1242_816,https://booking.naver.com/booking/12/bizes/608353/items/4167231?area=ple,2019.10.1,0,0,0,0,0
강원,강릉,강릉방탈출카페,무속인 살인사건,추리,4,60,"TV에 출연할 정도로 유명한 무속인이 어느날 싸늘한 시체로 발견?
피해자는 TV에 출연하여 화려한 달변과 점술로 유명해진 박수무당으로 어느 날
자신의 점집에서 잘린 머리가 불에 탄 채 단골 고객에게 발견되었다.
과연 어떠한 연유로 박무당은 죽음을 맞이해야 했는가?
빛나는 추리로 진실을 파헤쳐 보자.",2,5,https://naverbooking-phinf.pstatic.net/20211110_57/1636507712031079dq_JPEG/%B9%AB%BC%D3%C0%CE_1.jpg?type=ff1242_816,https://booking.naver.com/booking/12/bizes/608353/items/4167232?area=ple,2019.10.1,0,0,0,0,0
서울,신촌,게이트 오브 더 스토리,구슬탐험대,동화,3,70,"전설 속 생명의 구슬이 사라졌다..
무서운 탐정이 훔쳐갔다는 소문을 듣고 구슬을 찾기 위한 탐험대가 모험을 시작하는데...",2,5,http://www.kdjang.com/upload_file/thema/%EA%B5%AC%EC%8A%AC%ED%83%90%ED%97%98%EB%8C%80%EC%B5%9C%EC%A2%85.jpg,http://www.kdjang.com/sub/code_sub03.html?R_THEMA=esc_01,2022.12.28,3.35,3,4,0,0
서울,신촌,게이트 오브 더 스토리,Drugun Red (드러건 레드),액션,3,60,"몇 년 전부터 조직에 잠입해 있던 언더커버로부터 대량의 마약 거래 정보가 들어왔다.
지휘부에서는 나를 포함한 경찰 특공대를 이 마약 조직에 몇 달 전부터 침투 시켰다.
오늘이 지긋지긋한 마약조직을 끝장 내버릴 마지막 기회다!",2,2,http://www.kdjang.com/upload_file/thema/KakaoTalk_20230307_141938971.png,http://www.kdjang.com/sub/code_sub03.html?R_THEMA=esc_02,2023.03.11,0,0,0,0,0
서울,신촌,게이트 오브 더 스토리,Drugun Blue (드러건 블루),액션,3,60,"몇 년 전부터 조직에 잠입해 있던 언더커버로부터 대량의 마약 거래 정보가 들어왔다.
지휘부에서는 나를 포함한 경찰 특공대를 이 마약 조직에 몇 달 전부터 침투 시켰다.
오늘이 지긋지긋한 마약조직을 끝장 내버릴 마지막 기회다!",2,2,http://www.kdjang.com/upload_file/thema/KakaoTalk_20230307_141938971(1).png,http://www.kdjang.com/sub/code_sub03.html?R_THEMA=esc_03,2023.03.11,0,0,0,0,0
경상,부산,게임오브마인드 서면,어둠의 마법(다크 매직),판타지,3,60,"위대한 마법학교는 ‘어둠의 마법사’이 걸어둔 어둠의 주문 때문에 위험에 빠져있다.
여러분이 교장을 도와 어둠의 주문에서 마법학교를 구해내라!
어둠의 주문을 풀지 못하면 여러분도 어둠 속에 갇히고 만다!",2,6,http://game-of-minds.com/images/quests/darkprint/dark_magic_background_small_700x430.jpg,http://game-of-minds.com/quest/busan/seo-myeon/dark_print/,2016.7.5,1.65,3,3,0,0
경상,부산,게임오브마인드 서면,생명의 서(다빈치),모험 잠입/탈출,3,60,"다빈치는 평생 동안 연구하여 알아낸 만물의 진리를 ‘생명의 서’에 기록했다.
이 책을 공개하기 직전 로마교황에게 발각되고 만 다빈치는 이 책을 어딘가에 숨겨두었다!
로마교황의 추격을 피해 ‘생명의 서’를 찾아라!",2,6,http://game-of-minds.com/images/quests/leonardo/davin-main.jpg,http://game-of-minds.com/quest/busan/seo-myeon/davinchi/,2016.7.5,0,0,0,0,0
경상,부산,게임오브마인드 서면,미치광이 의사(카니발),공포 스릴러,4,60,"당신이 살고 있는 작은 동네의 병원에서 환자들이 사라진다는 흉흉한 소문이 들려온다.
저녁에 입원한 친구를 만나러 병원을 방문한 당신! 어디에도 친구의 모습이 보지 않는다! 
평범해 보이는 그 의사는 사실 독특한 취미가 있는데…
미치광이 의사를 피해 병원에서 탈출하라!",2,6,http://game-of-minds.com/images/quests/cannibal/cannibal_mini.jpg,http://game-of-minds.com/quest/busan/seo-myeon/cannibal/,2016.7.5,4.3,7,3.25,3.75,1
